Altium Designer Pick and Place Locations
C:\Users\carli\_work_\pcb\X4M02\Project_Outputs\PCBA_Doc_280031-010\Pick_Place-280031-010.txt

========================================================================================================================
File Design Information:

Date:       13.06.17
Time:       13:44
Revision:   2450
Variant:    Populated_components
Units used: mil

Designator Footprint             Center-X(mil) Center-Y(mil) Ref-X(mil) Ref-Y(mil) Pad-X(mil) Pad-Y(mil) Layer       Rotation Comment                Description                                                             
R304       0402-RESISTOR         257.877       -708.657      257.877    -708.657   238.192    -708.657   TopLayer    0        100k                   "RESISTOR, 100k, 0402, 1%, 63mW"                                        
C331       0603-CAPACITOR-NONPOL -3.934        -291.354      -3.934     -291.354   -3.934     -261.827   TopLayer    270      4u7                    "CAPACITOR, 4u7, 0603, 10%, 10V, X5R"                                   
C332       0402-CAPACITOR-NONPOL -100.391      -823.834      -100.391   -823.834   -120.076   -823.834   TopLayer    360      1u                     "CAPACITOR, 1u, 0402, 10%, 10V, X5R"                                    
C333       0402-CAPACITOR-NONPOL -216.535      -279.528      -216.535   -279.528   -196.850   -279.528   TopLayer    180      1u                     "CAPACITOR, 1u, 0402, 10%, 10V, X5R"                                    
C334       0402-CAPACITOR-NONPOL -130.912      -598.424      -130.912   -598.424   -116.992   -584.504   BottomLayer 225      100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C335       0603-CAPACITOR-NONPOL -116.155      -488.187      -116.155   -488.187   -86.628    -488.187   BottomLayer 180      100n                   "CAPACITOR, 100n, 0603, 10%, 16V, X7R"                                  
C336       0402-CAPACITOR-NONPOL 359.246       -574.802      359.246    -574.802   339.561    -574.802   BottomLayer 360      100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C337       0402-CAPACITOR-NONPOL 265.751       -324.819      265.751    -324.819   285.436    -324.819   TopLayer    180      2u2                    "CAPACITOR, 2u2, 0402, 20%, 6V3, X5R"                                   
C338       0402-CAPACITOR-NONPOL -421.266      -596.455      -421.266   -596.455   -421.266   -616.140   TopLayer    90       100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C339       0402-CAPACITOR-NONPOL -395.675      -740.156      -395.675   -740.156   -375.990   -740.156   TopLayer    180      100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
L300       200364                55.118        -279.528      55.118     -279.528   55.118     -240.157   TopLayer    270      CK2125100M-T           "INDUCTOR, 10u, 0805, 20%, 60mA, 650mOhm"                               
R6         0603-RESISTOR         -110.234      350.378       -110.233   350.378    -135.824   350.378    TopLayer    0        0R                     "RESISTOR, 0R, 0603, 1%, 100mW"                                         
R305       0402-RESISTOR         60.039        -181.102      60.039     -181.102   60.039     -161.417   TopLayer    270      2R2                    "RESISTOR, 2R2, 0402, 1%, 63mW"                                         
